Nombre Científico,Nombre Común
Brevicoryne brassicae ,Pulgón del repollo
Brevipalpus californicus ,Citrus flat mite
Brevipalpus chilensis,
Brevipalpus essigi,
Brevipalpus lewisi,
Brevipalpus obovatus ,Ácaro de la lepra explosiva 
Brevipalpus phoenicis ,Ácaro de la lepra explosiva
Brevipalpus russulus,
Broad bean mottle virus,
Broad bean necrosis virus,
Broad bean true mosaic virus,
Broad bean wilt virus 1,
Broad bean wilt virus 2,
Bromus catarthicus ,Cebadilla criolla 
Bromus rigidus,
Bromus sterilis,
Bruches bicoloripes,
Bruchidius quinqueguttatus,
Bruchidius spp.,
Bruchophagus gibbus ,Avispita del trébol
Bruchophagus roddi,
Bruchus affinis ,Gorgojo de las Habas
Bruchus emarginatus,
Bruchus ervi,
Bruchus lentis,
Bruchus pisorum ,Gorgojo
Bruchus tristis,
Bryobia rubrioculus ,Arañuela parda
Bulimulus bonariensis ,Bulimulus
Bulimulus fourmiersi ,Bulimulus
Burkholderia andropogonis ,Rayado foliar
Burkholderia caryophylli,
Burkholderia gladioli pv. alliicola ,Podredumbre blanda en cebolla
Burkholderia glumae,
Bursaphelenchus xylophilus,
Butlerelfia eustacei,
Byssosphaeria schiedermayeriana,
Cacoecimorpha pronubana ,Oruga del Clavel
Cacopsylla bidens,
Cacopsylla pyri,
Cacopsylla pyricola,
Cacopsylla pyrisuga,
Cacoscelis melanoptera,
Cactodera cacti,
Cactus virus X,
Cadophora gregata ,Podredumbre marrón del tallo
Cadra cautella,
Caeporis stigmula ,Vaquita de los repollos 
Caespitotheca forestalis,
Caladium Virus X,
Caldariomyces fumago,
Caliothrips phaseoli ,Trips del poroto
Caliroa cerasi ,Babosita del peral
Callaphis juglandis ,pulgón grande del nogal
Callia pulchra,
Callidiellum rufipenne ,Escarabajo japonés 
Callipogon armillatus,
Callosobruchus analis,
Callosobruchus chinensis ,Picudo del Caupí 
Callosobruchus maculatus,
Callosobruchus phaseoli ,Gorgojo del frijol
Callosobruchus theobromae,
Calonectria ilicicola ,Cylindrocladium black rot
Calonectria morganii ,Mancha foliar
Calophoma complanata,
Calycomyza platyptera,
Camarosporium dalmaticum ,Escudete de la aceituna
Candidatus Liberibacter africanus ,Huanglongbing 
Candidatus Liberibacter americanus ,Huanglongbing 
Candidatus Liberibacter asiaticus ,Huanglongbing 
Candidatus Liberibacter solanacearum ,zebra chip disease 
Candidatus Phytoplasma aurantifolia ,Witches-broom phytoplasma
Candidatus Phytoplasma australiense 16SrXII-B ,Australian grapevine yellows 
Candidatus Phytoplasma fraxini,
Candidatus Phytoplasma mali ,Apple proliferation phytoplasma
Candidatus Phytoplasma pyri ,Pear decline phytoplasma
Candidatus Phytoplasma solani 16SrXII-A ,Grapevine bois noir phytoplasma 
Cannonia australis,
Capitophorus elaeagni ,Pulgón verde del cártamo  
Capitophorus hippophaes,
Capnodis tenebrionis,
Capnodium citri,
Capsella bursa pastoris ,Bolsa de pastor 
Carduus acanthoides ,Falso cardo negro
Carduus thoermeri ,Cardo pendiente 
Carnation etched ring virus ,CERV
Carnation latent virus ,CLV
Carnation mottle virus ,CarMV
Carnation necrotic fleck virus,
Carnation ringspot virus,
Carnation vein mottle virus ,CVMV
Carpophilus dimidiatus ,Gorgojo minador del Maíz 
Carpophilus hemipterus ,gorgojo de la fruta seca
Carpophilus humeralis,
Carpophilus mutilatus,
Carposina niponensis,
Carposina sasakii,
Carrichtera annua,
Caryedon serratus,
Castniomera humboldti ,Gusano tornillo
Cathartus quadricollis ,Gorgojo cuello
Catocala actaea,
Catocephala lauta ,Bicho quemador de Río Negro
Cauliflower mosaic virus ,CaMV 
Cavariella aegopodii ,Pulgón de las umbeliferas
Celerio lineata,
Cenchrus brownii,
Cenchrus echinatus ,Cadillo 
Cenchrus incertus ,Roseta 
Cenopalpus pulcher ,Arañuela chata 
Centaurea solstitialis ,Abrepuño amarillo 
Cephalosporium sacchari ,Cephalosporium
Cephisus siccifolius ,Chicharrita de la espuma
Ceratitis capitata ,Mosca Mediterránea de los frutos
Ceratitis spp. ,excepto C. capitata
Ceratocystis fagacearum,
Ceratocystis fimbriata ,Mal de machete
Ceratocystis ips,
Ceratocystis paradoxa ,Enfermedad de la piña
